date,Coconut,Eggs,Fish (yellowfin tuna),"Meat (chicken, broiler)",Oil (coconut),Rice (red),Rice (white),Sugar,Fuel (diesel),Fuel (petrol-gasoline)
15/01/2020,55.31,19.45,539.375,300,200,106.92,102.93,101.81,100,161
15/02/2020,65.78,19.44,583.1766667,305,270,94.5,94.5925,103,101,162
15/03/2020,63.75,19.39,669.2225,305,274.084507,90,92.95,103,101,162
15/04/2020,64.22,11.5,676.19,310,278.4507042,89.5,93.98666667,110.67,101,165
15/05/2020,61.17,12.1,676.78,302,282.6760563,91.15,95.36,108.92,102,165
15/06/2020,61.4725,19.1,710.835,330,287.0422535,91.35,92.4625,132.175,104,165
15/07/2020,59.22,19.85,738.485,350,291.2676056,90.9,92.0475,130.915,103,166
15/08/2020,64.08333333,21.86,738.485,354,295.6338028,89.88,91.3175,129.105,104,168
15/09/2020,66.11666667,20,740.83,390,300,89.75,91.5,130.125,103,169
15/10/2020,66.11666667,20,747.4675,430,311.8421918,89.75,91.9175,130.125,103,169
15/11/2020,67.47392894,19.62195122,815.5727194,480,324.0791233,92.76576087,98.34,129.8894925,104,170
15/12/2020,68.78740857,19.25609756,890.1737382,510,335.9213151,95.68423913,101.5,129.6615821,104,170
15/01/2021,70.14467085,18.87804878,967.2614577,550,348.1582466,98.7,100.76,129.4260746,104,170
15/02/2021,71.50193312,18.5,1044.349177,534,360.3951781,93.7,95.93666667,129.1905672,105,178
15/03/2021,72.72784744,16.5,1113.976795,557,371.4478904,93.9,97.50333333,128.9778507,105,178
15/04/2021,69.77694444,15.25,1135,600,383.6848219,94.4,99.12,128.7423433,105,190
15/05/2021,70.19277778,19.89299065,1191.064514,685.88,395.5270137,99.12,111.12,128.5144328,106,195
15/06/2021,71.91777778,24.69074766,1265.665533,701.6,407.7639452,111.12,113.69,128.2789254,107,203
15/07/2021,72.49485714,29.33373832,1342.753252,740.41,419.606137,113.69,112,128.0510149,107,207
15/08/2021,74.08510972,26.54,1417.354271,785.88,431.8430685,112,107,127.8155075,109,207
15/09/2021,75.03235294,27.58,1494.441991,794.89,444.08,107,103,127.58,109,220
15/10/2021,75.39858934,29.51,1500,804.17,429.42,103,114,140.43,111,235
15/11/2021,76.75585162,34.13149533,1571.52971,878.22,445.15,114,132,151.01,121,250
15/12/2021,78.06933124,34.32,1633,938.79,444.74,132,131.66,143.45,126,270
15/01/2022,78.95545455,38.92925234,1646.130729,1049.44,478.24,145.66,158.48,147.45,176,207
15/02/2022,79.42659352,42.97,1723.218448,1228.84,490.68,158.48,161.51,149.18,195,250
15/03/2022,80.7838558,43.57224299,1797.819467,1322.22,602.58,171.51,169.24,168.5,206,283
15/04/2022,82.09733542,48.37,1832.17,1336.482346,591.78,199.24,206.17,173.77,289,350
15/05/2022,83.4545977,54.88,1873.91,1350.284617,580.66,226.17,216.26,193.65,260,364
15/06/2022,83.97296903,57.41,1874.907187,1364.546963,555.41,226.26,227.52,199.6,289,378
15/07/2022,84.76807732,46.19,1920.212903,1378.349233,564.99,227.52,227.5923655,210.6,275,354
15/08/2022,86.1253396,50.7,1951.994906,1392.611579,541.24,228.5923655,227.6671432,221.6,285,385
15/09/2022,87.48260188,48.8,1953.64,1406.873925,517.49,229.6671432,227.7419209,231.6,290,388
15/10/2022,88.7085162,51.92,1963.311935,1420.676196,468.02,229.7419209,227.8142864,253.6,295,389
15/11/2022,90.06577847,50,1997.049185,1434.938542,468.49,231.8142864,227.8890641,274.6,297,392
15/12/2022,91.3792581,60.88,2018.462813,1448.740813,479.3,232.8890641,227.9614296,279.6,294,399
15/01/2023,92.73652038,43.9,2021.622524,1463.003159,525.85,233.9614296,228.0362073,299.6,301,320
15/02/2023,94.05,48.29,2045,1477.265505,539.66,233.0362073,228.110985,302.6,306,340
15/03/2023,95.16,57.33,2085,1490.147624,549.33,236.110985,228.1785261,313.2,315,357
15/04/2023,96.43,51.5,2098.710243,1504.40997,546.6,238.1785261,228.2533038,319.5,325,375
15/05/2023,96.43,48,2173.311262,1518.212241,531.95,238.2533038,228.3256693,326.6,309,365
15/06/2023,104.58,52.41778233,2174.057813,1517.122059,525.5213115,238.3256693,228.400447,329.6,310,385
15/07/2023,105.2,56.69305556,2185.56,1532.474587,519.3,238.400447,228.4728125,330.6,308,365
15/08/2023,109.42,47.615,2250.398981,1534.412353,525.85,239.4728125,229.610625,333.6,306,375
15/09/2023,116.11,45.83583333,2274.015938,1544.804722,559.66,239.610625,231.753125,338.6,341,417
15/10/2023,118.95,48.12,2325,1546.276857,569.33,241.753125,232.0938235,344.1,351,420
15/11/2023,119,45.28382353,2349.354848,1565.919444,586.6,242.0938235,234.0587879,344.6,356,423
15/12/2023,119.77,55.07911765,2588.75,1584.035714,600.95,244.0587879,241.7357576,345.6,359,426
